date,home_team,away_team,neutral,match_id,match_no,stage,group,venue_city,competition,home_gf12,home_ga12,home_pts12,home_prev_matches,away_gf12,away_ga12,away_pts12,away_prev_matches,fifa_home,fifa_away,diff_fifa,elo_home,elo_away,diff_elo,h2h,home_advantage,home_score,away_score,pen_home,pen_away,source_note
2026-06-28,South Africa,Canada,1,73,73,16AVOS,,,FIFA World Cup,14,13,18,12,16,7,18,12,1393.21,1551.5,-158.28999999999996,1511.0,1767.0,-256.0,3,0,0,1,,,Canada clasifica a octavos
2026-06-29,Brazil,Japan,1,74,74,16AVOS,,,FIFA World Cup,29,12,23,12,19,9,25,12,1765.34,1665.9399999999998,99.40000000000009,1978.0,1910.0,68.0,9,0,2,1,,,Brazil clasifica a octavos
2026-06-29,Germany,Paraguay,1,75,75,16AVOS,,,FIFA World Cup,42,10,33,12,14,13,18,12,1743.54,1488.05,255.49,1939.0,1780.0,159.0,3,0,1,1,3.0,4.0,Paraguay clasifica a octavos por penales
2026-06-29,Netherlands,Morocco,1,76,76,16AVOS,,,FIFA World Cup,31,11,27,12,25,6,28,12,1749.2,1755.62,-6.419999999999845,1944.0,1840.0,104.0,3,0,1,1,2.0,3.0,Morocco clasifica a octavos por penales
2026-06-30,Ivory Coast,Norway,1,77,77,16AVOS,,,FIFA World Cup,23,9,28,12,38,15,24,12,1568.62,1577.18,-8.560000000000173,1743.0,1914.0,-171.0,0,0,1,2,,,Norway clasifica a octavos
2026-06-30,France,Sweden,1,78,78,16AVOS,,,FIFA World Cup,33,11,31,12,18,25,12,12,1887.11,1533.1899999999998,353.9200000000001,2063.0,1755.0,308.0,9,0,3,0,,,France clasifica a octavos
2026-06-30,Mexico,Ecuador,1,79,79,16AVOS,,,FIFA World Cup,22,4,29,12,14,7,21,12,1700.9800000000002,1570.76,130.22000000000025,1881.0,1890.0,-9.0,0,0,2,0,,,Mexico clasifica a octavos
2026-07-01,England,DR Congo,1,80,80,16AVOS,,,FIFA World Cup,28,4,29,12,12,7,19,12,1847.68,1487.18,360.5,2024.0,1652.0,372.0,0,0,2,1,,,England clasifica a octavos
2026-07-01,Belgium,Senegal,1,81,81,16AVOS,,,FIFA World Cup,37,8,26,12,23,14,22,12,1733.93,1667.66,66.26999999999998,1879.0,1860.0,19.0,0,0,3,2,,,Belgium clasifica a octavos
2026-07-01,United States,Bosnia and Herzegovina,1,82,82,16AVOS,,,FIFA World Cup,26,19,22,12,19,16,16,12,1688.53,1395.1899999999998,293.34000000000015,1780.0,1616.0,164.0,6,0,2,0,,,United States clasifica a octavos
2026-07-02,Spain,Austria,1,83,83,16AVOS,,,FIFA World Cup,30,4,28,12,29,8,28,12,1856.03,1612.86,243.17000000000007,2129.0,1830.0,299.0,12,0,3,0,,,Spain clasifica a octavos
2026-07-02,Portugal,Croatia,1,84,84,16AVOS,,,FIFA World Cup,32,10,27,12,22,14,25,12,1755.09,1695.21,59.87999999999988,1989.0,1912.0,77.0,6,0,2,1,,,Portugal clasifica a octavos
2026-07-02,Switzerland,Algeria,1,85,85,16AVOS,,,FIFA World Cup,25,11,23,12,23,8,26,12,1640.92,1559.24,81.68000000000006,1865.0,1772.0,93.0,6,0,2,0,,,Switzerland clasifica a octavos
2026-07-03,Australia,Egypt,1,86,86,16AVOS,,,FIFA World Cup,13,11,17,12,17,9,20,12,1605.61,1570.67,34.93999999999983,1839.0,1711.0,128.0,-3,0,1,1,2.0,4.0,Egypt clasifica a octavos por penales
2026-07-03,Argentina,Cape Verde,1,87,87,16AVOS,,,FIFA World Cup,30,3,31,12,16,14,16,12,1889.0600000000002,1389.79,499.2700000000002,2115.0,1606.0,509.0,0,0,3,2,,,Argentina clasifica a octavos
2026-07-03,Colombia,Ghana,1,88,88,16AVOS,,,FIFA World Cup,29,11,28,12,12,14,15,12,1712.5999999999997,1380.71,331.88999999999965,1982.0,1510.0,472.0,0,0,1,0,,,Colombia clasifica a octavos
