match_id_16avos,date,home_team,away_team,team,source,classification_type
73,2026-06-28,South Africa,Canada,Canada,REAL_90_120,CLASIFICADO_A_OCTAVOS
74,2026-06-29,Brazil,Japan,Brazil,REAL_90_120,CLASIFICADO_A_OCTAVOS
75,2026-06-29,Germany,Paraguay,Paraguay,REAL_PENALES,CLASIFICADO_A_OCTAVOS
76,2026-06-29,Netherlands,Morocco,Morocco,REAL_PENALES,CLASIFICADO_A_OCTAVOS
77,2026-06-30,Ivory Coast,Norway,Norway,REAL_90_120,CLASIFICADO_A_OCTAVOS
78,2026-06-30,France,Sweden,France,REAL_90_120,CLASIFICADO_A_OCTAVOS
79,2026-06-30,Mexico,Ecuador,Mexico,REAL_90_120,CLASIFICADO_A_OCTAVOS
80,2026-07-01,England,DR Congo,England,REAL_90_120,CLASIFICADO_A_OCTAVOS
81,2026-07-01,Belgium,Senegal,Belgium,REAL_90_120,CLASIFICADO_A_OCTAVOS
82,2026-07-01,United States,Bosnia and Herzegovina,United States,REAL_90_120,CLASIFICADO_A_OCTAVOS
83,2026-07-02,Spain,Austria,Spain,REAL_90_120,CLASIFICADO_A_OCTAVOS
84,2026-07-02,Portugal,Croatia,Portugal,REAL_90_120,CLASIFICADO_A_OCTAVOS
85,2026-07-02,Switzerland,Algeria,Switzerland,REAL_90_120,CLASIFICADO_A_OCTAVOS
86,2026-07-03,Australia,Egypt,Egypt,REAL_PENALES,CLASIFICADO_A_OCTAVOS
87,2026-07-03,Argentina,Cape Verde,Argentina,REAL_90_120,CLASIFICADO_A_OCTAVOS
88,2026-07-03,Colombia,Ghana,Colombia,REAL_90_120,CLASIFICADO_A_OCTAVOS
