match_id,date,group,home_team,away_team,home_score,away_score,source
1,2026-06-11,A,Mexico,South Africa,2,0,REAL
2,2026-06-11,A,South Korea,Czech Republic,2,1,REAL
25,2026-06-18,A,Czech Republic,South Africa,1,1,REAL
28,2026-06-18,A,Mexico,South Korea,1,0,REAL
53,2026-06-24,A,Czech Republic,Mexico,0,3,REAL
54,2026-06-24,A,South Africa,South Korea,1,0,REAL
3,2026-06-12,B,Canada,Bosnia and Herzegovina,1,1,REAL
5,2026-06-13,B,Qatar,Switzerland,1,1,REAL
26,2026-06-18,B,Switzerland,Bosnia and Herzegovina,4,1,REAL
27,2026-06-18,B,Canada,Qatar,6,0,REAL
49,2026-06-24,B,Switzerland,Canada,2,1,REAL
50,2026-06-24,B,Bosnia and Herzegovina,Qatar,3,1,REAL
6,2026-06-13,C,Brazil,Morocco,1,1,REAL
7,2026-06-13,C,Haiti,Scotland,0,1,REAL
30,2026-06-19,C,Scotland,Morocco,0,1,REAL
31,2026-06-19,C,Brazil,Haiti,3,0,REAL
51,2026-06-24,C,Scotland,Brazil,0,3,REAL
52,2026-06-24,C,Morocco,Haiti,4,2,REAL
4,2026-06-12,D,United States,Paraguay,4,1,REAL
8,2026-06-14,D,Australia,Turkey,2,0,REAL
29,2026-06-19,D,United States,Australia,2,0,REAL
32,2026-06-20,D,Turkey,Paraguay,1,1,PREDICHO_TOP1
59,2026-06-25,D,Turkey,United States,3,2,REAL
60,2026-06-25,D,Paraguay,Australia,0,0,REAL
9,2026-06-14,E,Germany,Curacao,7,1,REAL
11,2026-06-14,E,Ivory Coast,Ecuador,1,0,REAL
34,2026-06-20,E,Germany,Ivory Coast,2,1,REAL
35,2026-06-20,E,Ecuador,Curacao,0,0,REAL
55,2026-06-25,E,Ecuador,Germany,2,1,REAL
56,2026-06-25,E,Curacao,Ivory Coast,0,2,REAL
10,2026-06-14,F,Netherlands,Japan,2,2,REAL
12,2026-06-14,F,Sweden,Tunisia,5,1,REAL
33,2026-06-20,F,Netherlands,Sweden,5,1,REAL
36,2026-06-21,F,Tunisia,Japan,0,2,PREDICHO_TOP1
57,2026-06-25,F,Japan,Sweden,1,1,REAL
58,2026-06-25,F,Tunisia,Netherlands,1,3,REAL
14,2026-06-15,G,Belgium,Egypt,1,1,REAL
16,2026-06-15,G,Iran,New Zealand,2,2,REAL
38,2026-06-21,G,Belgium,Iran,0,0,REAL
40,2026-06-21,G,New Zealand,Egypt,1,3,REAL
65,2026-06-26,G,Egypt,Iran,1,1,REAL
66,2026-06-26,G,New Zealand,Belgium,1,5,REAL
13,2026-06-15,H,Spain,Cape Verde,0,0,REAL
15,2026-06-15,H,Saudi Arabia,Uruguay,1,1,REAL
37,2026-06-21,H,Spain,Saudi Arabia,4,0,REAL
39,2026-06-21,H,Uruguay,Cape Verde,2,2,REAL
63,2026-06-26,H,Cape Verde,Saudi Arabia,0,0,REAL
64,2026-06-26,H,Uruguay,Spain,0,1,REAL
17,2026-06-16,I,France,Senegal,3,1,REAL
18,2026-06-16,I,Iraq,Norway,1,4,REAL
42,2026-06-22,I,France,Iraq,3,0,REAL
43,2026-06-22,I,Norway,Senegal,2,1,PREDICHO_TOP1
61,2026-06-26,I,Norway,France,1,4,REAL
62,2026-06-26,I,Senegal,Iraq,5,0,REAL
19,2026-06-16,J,Argentina,Algeria,3,0,REAL
20,2026-06-17,J,Austria,Jordan,3,1,REAL
41,2026-06-22,J,Argentina,Austria,2,0,REAL
44,2026-06-22,J,Jordan,Algeria,1,1,PREDICHO_TOP1
71,2026-06-27,J,Algeria,Austria,1,1,PREDICHO_TOP1
72,2026-06-27,J,Jordan,Argentina,0,2,PREDICHO_TOP1
21,2026-06-17,K,Portugal,DR Congo,1,1,REAL
24,2026-06-17,K,Uzbekistan,Colombia,1,3,REAL
45,2026-06-23,K,Portugal,Uzbekistan,5,0,REAL
48,2026-06-23,K,Colombia,DR Congo,1,0,REAL
69,2026-06-27,K,Colombia,Portugal,1,1,PREDICHO_TOP1
70,2026-06-27,K,DR Congo,Uzbekistan,1,1,PREDICHO_TOP1
22,2026-06-17,L,England,Croatia,4,2,REAL
23,2026-06-17,L,Ghana,Panama,1,0,REAL
46,2026-06-23,L,England,Ghana,0,0,REAL
47,2026-06-23,L,Panama,Croatia,0,1,REAL
67,2026-06-27,L,Panama,England,0,2,PREDICHO_TOP1
68,2026-06-27,L,Croatia,Ghana,2,1,PREDICHO_TOP1
